,Game,url,ProductID,System,xCloud,Status,Removed,Release,Metacritic,Genre_x,Series_X_S,ESRB_x,ESRB_Content_Descriptors,Community_Notes,asset_count,developer,has_gamepass_remediation,is_xpa,prices,publisher,release_date,rating_30_days.AggregateTimeSpan,rating_30_days_avg,rating_30_days.PlayCount,rating_30_days.PurchaseCount,rating_30_days_count,rating_30_days.RentalCount,rating_30_days.TrialCount,rating_7_days.AggregateTimeSpan,rating_7_days_avg,rating_7_days.PlayCount,rating_7_days.PurchaseCount,rating_7_days_count,rating_7_days.RentalCount,rating_7_days.TrialCount,rating_alltime.AggregateTimeSpan,rating_alltime_avg,rating_alltime.PlayCount,rating_alltime.PurchaseCount,rating_alltime_count,rating_alltime.RentalCount,rating_alltime.TrialCount,current_price,days_since_release,days_since_gp_add,momentum,discovery_capture,quality_retention,rating_trend_7d_vs_alltime,is_day_one_gp,Genre,genre_median_momentum,lift_vs_genre_momentum,conditioned_median_momentum,lift_vs_rating_momentum,zscore_momentum,genre_median_discovery_capture,lift_vs_genre_discovery_capture,conditioned_median_discovery_capture,lift_vs_rating_discovery_capture,zscore_discovery_capture,genre_median_quality_retention,lift_vs_genre_quality_retention,conditioned_median_quality_retention,lift_vs_rating_quality_retention,zscore_quality_retention,party_type
905,A Kingdom for Keflings,https://www.xbox.com/en-us/games/store/A-Kingdom-for-Keflings/BQG7DH2SWF0V,BQG7DH2SWF0V,Xbox,None,Removed,Aug 2019,Nov 2008,78,Strategy / Simulation,No relation,E,MilCarVio,,12,ninjabee,False,,,xbox game studios,2008-11-19T00:00:00.0000000Z,30Days,5.0,0.0,0,6,0,0,7Days,5.0,0.0,0,1,0,0,AllTime,4.2,0.0,0,618,0,0,2.49,6293,3159,16.67,0.16,0.8,0.8,False,Strategy / Simulation,8.335,8.335,0.0,,,0.005,0.155,0.0,,,0.2,0.6000000000000001,0.7,,,2nd Party
906,A World of Keflings,https://www.xbox.com/en-us/games/store/A-World-of-Keflings/C3FNJLM45CCC,C3FNJLM45CCC,Xbox,None,Removed,Aug 2019,Dec 2010,77,Simulation,No relation,E10,"ComMis, MilCarVio",,24,ninjabee,False,,,xbox game studios,2010-12-08T00:00:00.0000000Z,30Days,4.0,0.0,0,11,0,0,7Days,3.0,0.0,0,3,0,0,AllTime,4.2,0.0,0,976,0,0,2.49,5533,3159,27.27,0.31,-0.2,-1.2,False,Simulation,16.67,10.599999999999998,0.0,,,0.04,0.27,0.0,,,-0.1,-0.1,-1.85,,,2nd Party
907,CastleStorm,https://www.xbox.com/en-us/games/store/CastleStorm-Definitive-Edition/BP3M4THZP6GG,BP3M4THZP6GG,Xbox,None,Removed,Aug 2019,May 2013,79,Action / Strategy / Brawler,No relation,T,"Blo, Vio",,19,zen studios,False,,,zen studios,2014-09-24T00:00:00.0000000Z,30Days,0.0,0.0,0,0,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,3.5,0.0,0,3290,0,0,14.99,4651,3159,0.0,0.0,-3.5,-3.5,False,Action / Strategy / Brawler,0.0,0.0,0.0,,,0.0,0.0,0.0,,,-3.5,0.0,-3.5,,,3rd Party
908,Joe Danger 2: The Movie,https://www.xbox.com/en-us/games/store/Joe-Danger-2-The-Movie/BVKX6B5FS9C1,BVKX6B5FS9C1,Xbox,None,Removed,Aug 2019,Oct 2012,82,Driving/Racing / Platformer,No relation,E,MilFanVio,,11,hello games,False,,,xbox game studios,2012-09-14T00:00:00.0000000Z,30Days,5.0,0.0,0,1,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,3.9,0.0,0,109,0,0,14.99,4863,3159,0.0,0.0,1.1,-3.9,False,Driving/Racing / Platformer,0.0,0.0,0.0,,,0.0,0.0,0.0,,,-1.4999999999999998,2.5999999999999996,-1.4999999999999998,,,2nd Party
909,Joe Danger: Special Edition,https://www.xbox.com/en-us/games/store/Joe-Danger-Special-Edition/C0P10D72TK1L,C0P10D72TK1L,Xbox,None,Removed,Aug 2019,Jun 2010,88,Driving/Racing / Platformer,No relation,E,MilCarVio,,19,hello games,False,,,xbox game studios,2011-12-14T00:00:00.0000000Z,30Days,0.0,0.0,0,0,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,4.1,0.0,0,141,0,0,9.99,5716,3159,0.0,0.0,-4.1,-4.1,False,Driving/Racing / Platformer,0.0,0.0,0.0,,,0.0,0.0,0.0,,,-1.4999999999999998,-2.5999999999999996,-1.4999999999999998,,,2nd Party
910,Monday Night Combat,https://www.xbox.com/en-us/games/store/Monday-Night-Combat/C2FP0XG65F9B,C2FP0XG65F9B,Xbox,None,Removed,Aug 2019,Aug 2010,79,Shooter / MOBA,No relation,T,"Vio, MilLan, MilSugThe",,16,uber entertainment,False,,,xbox game studios,2010-08-09T00:00:00.0000000Z,30Days,4.8,0.0,0,4,0,0,7Days,5.0,0.0,0,2,0,0,AllTime,4.5,0.0,0,393,0,0,9.99,5655,3159,50.0,0.51,0.3,0.5,False,Shooter / MOBA,50.0,0.0,50.0,,,0.51,0.0,0.51,,,0.3,0.0,0.3,,,2nd Party
911,Spelunky,https://www.xbox.com/en-us/games/store/Spelunky/BS84XSHDJNCX,BS84XSHDJNCX,Xbox,None,Removed,Aug 2019,Sep 2009,87,Puzzle / Platformer / Action-Adventure,No relation,T,"FanVio, MilBlo, SugThe",,18,mossmouth,False,,,xbox game studios,2012-07-04T00:00:00.0000000Z,30Days,5.0,0.0,0,1,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,4.0,0.0,0,1112,0,0,0.0,5989,3159,0.0,0.0,1.0,-4.0,False,Puzzle / Platformer / Action-Adventure,19.875,-19.875,16.67,,,0.04,-0.04,0.03,,,0.44999999999999996,0.55,0.7,,,2nd Party
912,Toy Soldiers,https://www.xbox.com/en-us/games/store/Toy-Soldiers-HD/9N8ZGB1375XS,9N8ZGB1375XS,Xbox,None,Removed,Aug 2019,Mar 2010,81,Vehicular Combat / Shooter / Real-Time Strategy,No relation,T,Vio,,22,signal studios,False,,,accelerate games,2021-10-21T04:00:00.0000000Z,30Days,5.0,0.0,0,1,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,3.5,0.0,0,276,0,0,29.99,5808,3159,0.0,0.0,1.5,-3.5,False,Vehicular Combat / Shooter / Real-Time Strategy,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1.05,0.44999999999999996,1.05,,,3rd Party
913,Toy Soldiers: Cold War,https://www.xbox.com/en-us/games/store/Toy-Soldiers-Cold-War/C4PPBWR9HRTX,C4PPBWR9HRTX,Xbox,None,Removed,Aug 2019,Aug 2011,81,Vehicular Combat / Shooter / Real-Time Strategy,No relation,T,Vio,,26,signal studios,False,,,xbox game studios,2012-10-25T00:00:00.0000000Z,30Days,5.0,0.0,0,1,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,4.4,0.0,0,295,0,0,0.0,5290,3159,0.0,0.0,0.6,-4.4,False,Vehicular Combat / Shooter / Real-Time Strategy,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1.05,-0.45000000000000007,1.05,,,2nd Party
914,Meet the Robinsons,https://www.xbox.com/en-us/games/store/Meet-the-Robinsons/BSJ67WJZ3LXB,BSJ67WJZ3LXB,XB360/OG Xbox,None,GwG Permanent,Jul 2019,Nov 2010,62,Action-Adventure,No relation,E10,"AniBlo, CarVio",,12,avalanche software,False,,,disney,2009-12-30T00:00:00.0000000Z,30Days,5.0,0.0,0,1,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,3.4,0.0,0,280,0,0,19.99,5563,2399,0.0,0.0,1.6,-3.4,False,Action-Adventure,18.575,-18.575,0.0,,,0.055,-0.055,0.0,,,0.0,1.6,0.0,,,3rd Party
