,Game,url,ProductID,System,xCloud,Status,Removed,Release,Metacritic,Genre_x,Series_X_S,ESRB_x,ESRB_Content_Descriptors,Community_Notes,asset_count,developer,has_gamepass_remediation,is_xpa,prices,publisher,release_date,rating_30_days.AggregateTimeSpan,rating_30_days_avg,rating_30_days.PlayCount,rating_30_days.PurchaseCount,rating_30_days_count,rating_30_days.RentalCount,rating_30_days.TrialCount,rating_7_days.AggregateTimeSpan,rating_7_days_avg,rating_7_days.PlayCount,rating_7_days.PurchaseCount,rating_7_days_count,rating_7_days.RentalCount,rating_7_days.TrialCount,rating_alltime.AggregateTimeSpan,rating_alltime_avg,rating_alltime.PlayCount,rating_alltime.PurchaseCount,rating_alltime_count,rating_alltime.RentalCount,rating_alltime.TrialCount,current_price,days_since_release,days_since_gp_add,momentum,discovery_capture,quality_retention,rating_trend_7d_vs_alltime,is_day_one_gp,Genre,genre_median_momentum,lift_vs_genre_momentum,conditioned_median_momentum,lift_vs_rating_momentum,zscore_momentum,genre_median_discovery_capture,lift_vs_genre_discovery_capture,conditioned_median_discovery_capture,lift_vs_rating_discovery_capture,zscore_discovery_capture,genre_median_quality_retention,lift_vs_genre_quality_retention,conditioned_median_quality_retention,lift_vs_rating_quality_retention,zscore_quality_retention,party_type
0,Routine,https://www.xbox.com/en-us/games/store/routine/9PCJT6TLCGGV,9PCJT6TLCGGV,Xbox,Yes,Active,,Dec 2025,,,No relation,T,"Vio, Blo, ParNud",,26,lunar software,True,,,raw fury,2025-12-04T15:00:00.0000000Z,30Days,4.2,0.0,0,1339,0,0,7Days,4.2,0.0,0,155,0,0,AllTime,4.0,0.0,0,2102,0,0,24.99,54,54,11.58,7.37,0.2,0.2,True,Action & adventure,5.79,5.79,11.58,,,0.055,7.315,1.33,,,-0.35,0.55,-0.2,,,3rd Party
1,Lara Croft and the Temple of Osiris,https://www.xbox.com/en-us/games/store/Lara-Croft-and-the-Temple-of-Osiris/C3553MB4P5TT,C3553MB4P5TT,Xbox / PC,Yes,Active,,Dec 2014,74,Action-Adventure,No relation,T,"MilBlo, MilLan, Vio",,15,crystal dynamics,True,,,crystal dynamics,2014-12-09T00:00:00.0000000Z,30Days,3.8,0.0,0,16,0,0,7Days,3.8,0.0,0,4,0,0,AllTime,3.8,0.0,0,2907,0,0,19.99,4072,84,25.0,0.14,0.0,0.0,False,Action-Adventure,18.575,6.425000000000001,0.0,,,0.055,0.08500000000000002,0.0,,,0.0,0.0,0.0,,,3rd Party
2,Whiskerwood,https://www.xbox.com/en-us/games/store/whiskerwood-game-preview/9NM2T0DMP4XV,9NM2T0DMP4XV,PC,None,Active,,Nov 2025,,Strategy,No relation,E10,FanVio,,17,minakata dynamics,True,,,hooded horse,2025-11-06T14:00:00.0000000Z,30Days,4.1,0.0,0,17,0,0,7Days,5.0,0.0,0,1,0,0,AllTime,3.5,0.0,0,195,0,0,29.99,84,84,5.88,0.51,0.6,1.5,True,Strategy,0.0,5.88,2.94,,,0.0,0.51,0.005,,,-0.5,1.1,0.2,,,3rd Party
3,Super Fantasy Kingdom (Game Preview),https://www.xbox.com/en-us/games/store/super-fantasy-kingdom-game-preview/9MZ8B96NDG1T,9MZ8B96NDG1T,PC,None,Active,,Oct 2025,,Defense,No relation,E10,"FanVio, MilBlo, UseAlc",,17,super fantasy games,True,,,hooded horse,2025-10-24T13:00:00.0000000Z,30Days,4.0,0.0,0,8,0,0,7Days,1.0,0.0,0,1,0,0,AllTime,3.7,0.0,0,217,0,0,19.99,115,115,12.5,0.46,0.3,-2.7,True,Defense,12.5,0.0,12.5,,,0.46,0.0,0.46,,,0.3,0.0,0.3,,,3rd Party
4,Evil West,https://www.xbox.com/en-us/games/store/Evil-West/9MW581HCJPM6,9MW581HCJPM6,Xbox / PC,Yes,Active,,Nov 2022,73,Shooter,No relation,M,"Blood and Gore, Intense Violence, Strong Language",,19,flying wild hog,True,,,focus entertainment,2022-11-22T05:00:00.0000000Z,30Days,3.9,0.0,0,78,0,0,7Days,4.0,0.0,0,18,0,0,AllTime,3.9,0.0,0,5942,0,0,59.99,1180,115,23.08,0.3,0.0,0.1,False,Shooter,20.375,2.7049999999999983,20.0,,,0.06,0.24,0.06,,,0.15000000000000002,-0.15000000000000002,0.2,,,3rd Party
5,Moonsweeper,https://www.xbox.com/en-us/games/store/Microsoft-Minesweeper/9WZDNCRFHWCN,9WZDNCRFHWCN,Xbox / PC,Yes,Active,,Jan 1983,,,No relation,E,MilFanVio,,20,xbox game studios,False,,,xbox game studios,2012-07-27T22:26:23.4565523Z,30Days,3.6,0.0,0,130,0,0,7Days,3.0,0.0,0,32,0,0,AllTime,4.3,0.0,0,110216,0,0,0.0,15729,115,24.62,0.03,-0.7,-1.3,False,Puzzle & trivia,24.62,0.0,24.62,,,0.03,0.0,0.03,,,-0.7,0.0,-0.7,,,2nd Party
6,Pax Dei,https://www.xbox.com/en-us/games/store/pax-dei/9PHGK0538TXM,9PHGK0538TXM,PC,None,Active,,Oct 2025,,RPG,No relation,M,"Vio, Blo",,23,mainframe industries,True,,,mainframe industries,2025-10-16T15:00:00.0000000Z,30Days,2.6,0.0,0,27,0,0,7Days,2.7,0.0,0,3,0,0,AllTime,2.0,0.0,0,482,0,0,29.99,115,115,11.11,0.62,0.6,0.7,True,RPG,11.11,0.0,27.725,,,0.02,0.6,0.135,,,-0.2,0.8,-0.05,,,3rd Party
7,Baldur's Gate and Baldur's Gate II: Enhanced Editions,https://www.xbox.com/en-us/games/store/Baldurs-Gate-and-Baldurs-Gate-II-Enhanced-Editions/9NCNBWZSHZR5,9NCNBWZSHZR5,PC,None,Active,,Oct 2019,72,RPG,No relation,T,"BloGor, UseTob, SugThe, AlcRef, MilLan, ParNud, Vio",,27,beamdog,True,,,beamdog,2019-10-15T04:00:00.0000000Z,30Days,3.3,0.0,0,9,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,3.9,0.0,0,775,0,0,49.99,2307,115,0.0,0.0,-0.6,-3.9,False,RPG,11.11,-11.11,0.0,,,0.02,-0.02,0.0,,,-0.2,-0.39999999999999997,-0.25,,,3rd Party
8,Sopa: Tale of the Stolen Potato,https://www.xbox.com/en-us/games/store/sopa-tale-of-the-stolen-potato/9N221ZTFGQB0,9N221ZTFGQB0,Xbox / PC,Yes,Active,,Oct 2025,79,Action-Adventure,No relation,E,,,23,"studiobando, inc.",True,,,"studiobando, inc.",2025-10-07T00:00:00.0000000Z,30Days,3.5,0.0,0,29,0,0,7Days,3.0,0.0,0,6,0,0,AllTime,3.5,0.0,0,451,0,0,19.99,115,115,20.69,1.33,0.0,-0.5,True,Action-Adventure,18.575,2.115000000000002,27.33,,,0.055,1.2750000000000001,0.35,,,0.0,0.0,0.3,,,3rd Party
9,Hogwarts Legacy,https://www.xbox.com/en-us/games/store/hogwarts-legacy/9MT5NJ5W7B8Z,9MT5NJ5W7B8Z,Xbox / PC,Yes,Active,,Feb 2023,84,Action-Adventure,No relation,T,"UseAlc, FanVio, Blo, MilLan",,11,avalanche software,True,,,warner bros. games,2023-02-10T05:00:00.0000000Z,30Days,4.2,0.0,0,339,0,0,7Days,4.6,0.0,0,77,0,0,AllTime,4.5,0.0,0,17460,0,0,69.99,1088,115,22.71,0.44,-0.3,0.1,False,Action-Adventure,18.575,4.135000000000002,0.0,,,0.055,0.385,0.0,,,0.0,-0.3,0.0,,,3rd Party
10,Assassin's Creed II,https://www.xbox.com/en-us/games/store/Assassins-Creed-II/BNVMH8NVCRCT,BNVMH8NVCRCT,PC,None,Active,,Nov 2009,90,Action-Adventure,No relation,M,"IntVio, Blo, SexCon, StrLan",,17,ubisoft montreal,False,,,ubisoft,2010-09-28T00:00:00.0000000Z,30Days,3.5,0.0,0,13,0,0,7Days,3.0,0.0,0,2,0,0,AllTime,4.4,0.0,0,4162,0,0,19.99,5928,115,15.38,0.05,-0.9,-1.4,False,Action-Adventure,18.575,-3.1949999999999985,20.0,,,0.055,-0.0049999999999999975,0.09,,,0.0,-0.9,-0.1,,,3rd Party
11,Assassin's Creed III: Remastered,https://www.xbox.com/en-us/games/store/Assassins-Creed-III-Remastered/BPMJ413V6BB2,BPMJ413V6BB2,Xbox / PC,Yes,Active,,Mar 2019,72,Action-Adventure,No relation,M,"Blo, SexThe, StrLan, IntVio",,16,ubisoft,True,,,ubisoft,2019-03-29T00:00:00.0000000Z,30Days,3.5,0.0,0,55,0,0,7Days,3.5,0.0,0,15,0,0,AllTime,3.7,0.0,0,3590,0,0,39.99,2521,115,27.27,0.42,-0.2,-0.2,False,Action-Adventure,18.575,8.695,20.0,,,0.055,0.365,0.09,,,0.0,-0.2,-0.1,,,3rd Party
12,Assassin's Creed IV Black Flag,https://www.xbox.com/en-us/games/store/Assassins-Creed-IV-Black-Flag/BRKMHZX1RCF2,BRKMHZX1RCF2,Xbox / PC,Yes,Active,,Oct 2013,88,Action-Adventure,No relation,M,,,12,ubisoft montreal,True,,,ubisoft,2013-11-22T00:00:00.0000000Z,30Days,4.3,0.0,0,94,0,0,7Days,4.4,0.0,0,22,0,0,AllTime,4.4,0.0,0,53676,0,0,29.99,4498,115,23.4,0.04,-0.1,0.0,False,Action-Adventure,18.575,4.824999999999999,20.0,,,0.055,-0.015,0.09,,,0.0,-0.1,-0.1,,,3rd Party
13,Assassin's Creed IV Black Flag: Freedom Cry,https://www.xbox.com/en-us/games/store/Assassins-Creed-IV-Black-Flag-Freedom-Cry/BVT23T7MDRQ8,BVT23T7MDRQ8,PC,None,Active,,Dec 2013,71,Action-Adventure,No relation,M,,,5,ubisoft montreal,True,,,ubisoft,2013-12-17T00:00:00.0000000Z,30Days,3.0,0.0,0,4,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,4.1,0.0,0,2940,0,0,9.99,4437,115,0.0,0.0,-1.1,-4.1,False,Action-Adventure,18.575,-18.575,20.0,,,0.055,-0.055,0.09,,,0.0,-1.1,-0.1,,,3rd Party
14,Assassin's Creed Brotherhood,https://www.xbox.com/en-us/games/store/Assassins-Creed-Brotherhood/BTS5B1V6434S,BTS5B1V6434S,PC,None,Active,,Nov 2010,89,Action-Adventure,No relation,M,"Blo, SexThe, StrLan, Vio",,16,ubisoft montreal,False,,,ubisoft,2010-11-16T00:00:00.0000000Z,30Days,5.0,0.0,0,2,0,0,7Days,5.0,0.0,0,1,0,0,AllTime,4.5,0.0,0,155,0,0,0.0,5563,115,50.0,0.65,0.5,0.5,False,Action-Adventure,18.575,31.425,20.0,,,0.055,0.595,0.09,,,0.0,0.5,-0.1,,,3rd Party
15,Assassin's Creed Chronicles: China,https://www.xbox.com/en-us/games/store/Assassins-Creed-Chronicles-China/BZQQ7HX8PZ05,BZQQ7HX8PZ05,Xbox / PC,Yes,Active,,Apr 2015,69,Action-Adventure,No relation,T,"Blo, SexThe, Vio",,12,climax studios,True,,,ubisoft,2015-04-21T00:00:00.0000000Z,30Days,2.9,0.0,0,8,0,0,7Days,2.0,0.0,0,4,0,0,AllTime,3.3,0.0,0,1746,0,0,9.99,3951,115,50.0,0.23,-0.4,-1.3,False,Action-Adventure,18.575,31.425,0.0,,,0.055,0.17500000000000002,0.0,,,0.0,-0.4,0.0,,,3rd Party
16,Assassin's Creed Chronicles: India,https://www.xbox.com/en-us/games/store/Assassins-Creed-Chronicles-India/BTMS1PXLQ6P6,BTMS1PXLQ6P6,Xbox / PC,Yes,Active,,Jan 2016,63,Action-Adventure,No relation,T,"Blo, SexThe, Vio",,16,climax studios,True,,,ubisoft,2016-01-12T00:00:00.0000000Z,30Days,0.0,0.0,0,0,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,3.0,0.0,0,3439,0,0,9.99,3676,115,0.0,0.0,-3.0,-3.0,False,Action-Adventure,18.575,-18.575,0.0,,,0.055,-0.055,0.0,,,0.0,-3.0,0.0,,,3rd Party
17,Assassin's Creed Chronicles: Russia,https://www.xbox.com/en-us/games/store/Assassins-Creed-Chronicles-Russia/BXQQQQ8HRBSF,BXQQQQ8HRBSF,Xbox / PC,Yes,Active,,Feb 2016,62,Action-Adventure,No relation,T,"Blo, Vio, Lan",,8,climax studios,True,,,ubisoft,2016-02-09T00:00:00.0000000Z,30Days,3.5,0.0,0,4,0,0,7Days,5.0,0.0,0,1,0,0,AllTime,2.9,0.0,0,1506,0,0,9.99,3645,115,25.0,0.07,0.6,2.1,False,Action-Adventure,18.575,6.425000000000001,0.0,,,0.055,0.015000000000000006,0.0,,,0.0,0.6,0.0,,,3rd Party
18,Assassin's Creed Revelations,https://www.xbox.com/en-us/games/store/Assassins-Creed-Revelations/BX2JJ48F0CKR,BX2JJ48F0CKR,PC,None,Active,,Nov 2011,80,Action-Adventure,No relation,M,"Blo, Lan, Vio, MilSexThe",,10,ubisoft montreal,False,,,ubisoft,2011-11-15T00:00:00.0000000Z,30Days,4.0,0.0,0,2,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,4.2,0.0,0,1013,0,0,19.99,5198,115,0.0,0.0,-0.2,-4.2,False,Action-Adventure,18.575,-18.575,20.0,,,0.055,-0.055,0.09,,,0.0,-0.2,-0.1,,,3rd Party
19,Assassin's Creed Rogue: Remastered,https://www.xbox.com/en-us/games/store/Assassins-Creed-Rogue-Remastered/BWT5L9P3L60X,BWT5L9P3L60X,Xbox / PC,Yes,Active,,Mar 2018,71,Action-Adventure,No relation,M,"Blo, StrLan, Vio",,10,ubisoft sofia,True,,,ubisoft,2018-03-20T00:00:00.0000000Z,30Days,3.8,0.0,0,30,0,0,7Days,4.7,0.0,0,6,0,0,AllTime,4.3,0.0,0,2135,0,0,29.99,2886,115,20.0,0.28,-0.5,0.4,False,Action-Adventure,18.575,1.4250000000000007,20.0,,,0.055,0.22500000000000003,0.09,,,0.0,-0.5,-0.1,,,3rd Party
20,Assassin's Creed Syndicate,https://www.xbox.com/en-us/games/store/Assassins-Creed-Syndicate/BXVQ8M4J9HNM,BXVQ8M4J9HNM,Xbox / PC,Yes,Active,,Oct 2015,76,Action-Adventure,No relation,M,,,10,,True,,,ubisoft,2015-10-23T00:00:00.0000000Z,30Days,3.9,0.0,0,56,0,0,7Days,3.7,0.0,0,19,0,0,AllTime,4.2,0.0,0,16666,0,0,29.99,3768,115,33.93,0.11,-0.3,-0.5,False,Action-Adventure,18.575,15.355,20.0,,,0.055,0.055,0.09,,,0.0,-0.3,-0.1,,,3rd Party
21,Assassin's Creed: The Ezio Collection,https://www.xbox.com/en-us/games/store/Assassins-Creed-The-Ezio-Collection/BQ9S8ZKCT3Q7,BQ9S8ZKCT3Q7,Xbox,Yes,Active,,Nov 2016,72,Action-Adventure,No relation,M,"Blo, SexCon, StrLan, IntVio",,14,ubisoft montreal. hd enhancement by virtuos.,True,,,ubisoft,2016-11-15T00:00:00.0000000Z,30Days,4.3,0.0,0,51,0,0,7Days,4.3,0.0,0,15,0,0,AllTime,4.5,0.0,0,4739,0,0,39.99,3371,115,29.41,0.32,-0.2,-0.2,False,Action-Adventure,18.575,10.835,20.0,,,0.055,0.265,0.09,,,0.0,-0.2,-0.1,,,3rd Party
22,Child of Light,https://www.xbox.com/en-us/games/store/Child-of-Light/BQ9Q620NC614,BQ9Q620NC614,Xbox / PC,Yes,Active,,Apr 2014,82,RPG,No relation,E10,"FanVio, UseOfAlcAndTob",,11,ubisoft montreal,True,,,ubisoft,2014-04-30T00:00:00.0000000Z,30Days,4.0,0.0,0,9,0,0,7Days,4.5,0.0,0,2,0,0,AllTime,4.3,0.0,0,9745,0,0,14.99,4316,115,22.22,0.02,-0.3,0.2,False,RPG,11.11,11.11,11.11,,,0.02,0.0,0.01,,,-0.2,-0.09999999999999998,-2.2,,,3rd Party
23,Hungry Shark World,https://www.xbox.com/en-us/games/store/Hungry-Shark-World/C3NHWKLR94M9,C3NHWKLR94M9,Xbox / PC,Yes,Active,,Jul 2018,58,Action-Adventure,No relation,T,"BloGor, Vio",,17,future games of london – a ubisoft studio,True,,,ubisoft,2018-07-17T00:00:00.0000000Z,30Days,4.2,0.0,0,15,0,0,7Days,4.3,0.0,0,11,0,0,AllTime,4.0,0.0,0,904,0,0,9.99,2764,115,73.33,1.22,0.2,0.3,False,Action-Adventure,18.575,54.754999999999995,0.0,,,0.055,1.165,0.0,,,0.0,0.2,0.0,,,3rd Party
24,Rabbids Invasion: The Interactive TV Show,https://www.xbox.com/en-us/games/store/Rabbids-Invasion-The-Interactive-TV-Show/BXZ0JDCPRV6C,BXZ0JDCPRV6C,Xbox,Yes,Active,,Nov 2014,53,Party,No relation,E10,"CruHum, CarVio",,9,ubisoft barcelona,True,,,ubisoft,2014-11-18T00:00:00.0000000Z,30Days,5.0,0.0,0,3,0,0,7Days,5.0,0.0,0,2,0,0,AllTime,3.9,0.0,0,1575,0,0,19.99,4102,115,66.67,0.13,1.1,1.1,False,Party,33.335,33.335,66.67,,,0.065,0.065,0.13,,,1.7,-0.5999999999999999,1.1,,,3rd Party
25,Rayman Legends,https://www.xbox.com/en-us/games/store/Rayman-Legends/C26K4DVGR45B,C26K4DVGR45B,Xbox / PC,Yes,Active,,Sep 2013,92,Platformer,No relation,E10,"ComMis, CarVio",,11,ubisoft montpellier,True,,,ubisoft,2014-02-18T00:00:00.0000000Z,30Days,4.8,0.0,0,40,0,0,7Days,4.9,0.0,0,13,0,0,AllTime,4.4,0.0,0,15690,0,0,19.99,4528,115,32.5,0.08,0.4,0.5,False,Platformer,20.0,12.5,24.25,,,0.04,0.04,0.08499999999999999,,,0.0,0.4,-0.5,,,3rd Party
26,Risk: Urban Assault,https://www.xbox.com/en-us/games/store/Risk-Urban-Assault/BTDRTXBKDBRR,BTDRTXBKDBRR,Xbox,Yes,Active,,Aug 2016,61,Board,No relation,E10,MilVio,,16,zoë mode,True,,,ubisoft,2016-08-02T00:00:00.0000000Z,30Days,1.4,0.0,0,10,0,0,7Days,2.0,0.0,0,3,0,0,AllTime,3.4,0.0,0,1006,0,0,14.99,3463,115,30.0,0.3,-2.0,-1.4,False,Board,24.23,5.77,30.0,,,0.195,0.10499999999999998,0.3,,,-0.95,-1.05,-2.0,,,3rd Party
27,Starlink: Battle for Atlas,https://www.xbox.com/en-us/games/store/Starlink-Battle-for-Atlas/BT3KQ8HLLZ6K,BT3KQ8HLLZ6K,Xbox / PC,Yes,Active,,Oct 2018,74,Simulation,No relation,E10,FanVio,,12,ubisoft toronto,True,,,ubisoft,2018-10-16T00:00:00.0000000Z,30Days,3.0,0.0,0,2,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,4.0,0.0,0,153,0,0,29.99,2672,115,0.0,0.0,-1.0,-4.0,False,Simulation,16.67,-16.67,0.0,,,0.04,-0.04,0.0,,,-0.1,-0.9,-1.85,,,3rd Party
28,Steep,https://www.xbox.com/en-us/games/store/STEEP/C350VBGGCL6P,C350VBGGCL6P,Xbox / PC,Yes,Active,,Nov 2016,71,Sports,No relation,T,Lan,,16,ubisoft annecy,True,,,ubisoft,2016-12-02T00:00:00.0000000Z,30Days,3.9,0.0,0,15,0,0,7Days,5.0,0.0,0,1,0,0,AllTime,3.3,0.0,0,3584,0,0,29.99,3371,115,6.67,0.03,0.6,1.7,False,Sports,0.0,6.67,6.67,,,0.0,0.03,0.03,,,-1.9,2.5,0.6,,,3rd Party
29,The Crew 2,https://www.xbox.com/en-us/games/store/The-Crew-2/BV05F8VT7JJ4,BV05F8VT7JJ4,Xbox / PC,Yes,Active,,Jun 2018,64,Racing,No relation,T,Lyr,,17,ivory,True,,,ubisoft,2018-06-29T00:00:00.0000000Z,30Days,3.7,0.0,0,64,0,0,7Days,3.7,0.0,0,15,0,0,AllTime,3.0,0.0,0,8063,0,0,29.99,2794,115,23.44,0.19,0.7,0.7,False,Racing,16.67,6.77,11.72,,,0.02,0.17,0.095,,,-0.3,1.0,0.19999999999999998,,,3rd Party
30,Tom Clancy's Ghost Recon Breakpoint,https://www.xbox.com/en-us/games/store/Tom-Clancys-Ghost-Recon-Breakpoint-Deluxe-Edition/9N60PDBXC0MB,9N60PDBXC0MB,Xbox / PC,Yes,Active,,Oct 2019,56,Shooter,No relation,M,"Blo, MilSexThe, StrLan, IntVio",,10,ubisoft,True,,,ubisoft,2021-09-29T04:00:00.0000000Z,30Days,5.0,0.0,0,2,0,0,7Days,5.0,0.0,0,1,0,0,AllTime,3.9,0.0,0,186,0,0,69.99,2307,115,50.0,0.54,1.1,1.1,False,Shooter,20.375,29.625,20.0,,,0.06,0.48000000000000004,0.06,,,0.15000000000000002,0.9500000000000001,0.2,,,3rd Party
31,Tom Clancy's Rainbow Six: Extraction,https://www.xbox.com/en-us/games/store/tom-clancys-rainbow-six-extraction/9NK1FQJ1SMCB,9NK1FQJ1SMCB,Xbox / PC,Yes,Active,,Jan 2022,72,Shooter,No relation,M,"Blood, Drug Reference, Strong Language, Violence",,9,ubisoft montreal,True,,,ubisoft,2022-01-20T00:00:00.0000000Z,30Days,0.0,0.0,0,0,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,2.6,0.0,0,407,0,0,39.99,1484,115,0.0,0.0,-2.6,-2.6,False,Shooter,20.375,-20.375,20.0,,,0.06,-0.06,0.06,,,0.15000000000000002,-2.75,0.2,,,3rd Party
32,Tom Clancy's The Division,https://www.xbox.com/en-us/games/store/Tom-Clancys-The-Division/BRGPD72KHM3Q,BRGPD72KHM3Q,Xbox / PC,Yes,Active,,Mar 2016,80,Shooter,No relation,M,"Blo, StrLan, IntVio",,13,massive entertainment,True,,,ubisoft,2016-03-08T00:00:00.0000000Z,30Days,3.2,0.0,0,59,0,0,7Days,2.2,0.0,0,4,0,0,AllTime,4.2,0.0,0,86802,0,0,29.99,3616,115,6.78,0.0,-1.0,-2.0,False,Shooter,20.375,-13.594999999999999,20.0,,,0.06,-0.06,0.06,,,0.15000000000000002,-1.15,0.2,,,3rd Party
33,Trackmania Turbo,https://www.xbox.com/en-us/games/store/Trackmania-Turbo/C3SQQG5Q6Z64,C3SQQG5Q6Z64,Xbox / PC,Yes,Active,,Mar 2016,81,Racing,No relation,E,,,11,nadeo,True,,,ubisoft,2016-03-22T00:00:00.0000000Z,30Days,2.3,0.0,0,6,0,0,7Days,1.0,0.0,0,1,0,0,AllTime,3.9,0.0,0,4212,0,0,39.99,3616,115,16.67,0.02,-1.6,-2.9,False,Racing,16.67,0.0,14.29,,,0.02,0.0,0.0,,,-0.3,-1.3,-0.7,,,3rd Party
34,Transference,https://www.xbox.com/en-us/games/store/Transference/C0RNBFHQ7X96,C0RNBFHQ7X96,Xbox,Yes,Active,,Sep 2018,71,Action-Adventure,No relation,M,"Blo, StrLan, Vio",,16,ubisoft,True,,,ubisoft,2018-09-18T00:00:00.0000000Z,30Days,3.6,0.0,0,34,0,0,7Days,3.8,0.0,0,10,0,0,AllTime,3.9,0.0,0,462,0,0,24.99,2702,115,29.41,2.16,-0.3,-0.1,False,Action-Adventure,18.575,10.835,20.0,,,0.055,2.105,0.09,,,0.0,-0.3,-0.1,,,3rd Party
35,Trials Fusion,https://www.xbox.com/en-us/games/store/Trials-Fusion/BVCRSR6XSDW5,BVCRSR6XSDW5,Xbox / PC,Yes,Active,,Apr 2014,79,Racing,No relation,E10,"MilVio, MilLan",,16,redlynx,True,,,ubisoft,2014-04-16T00:00:00.0000000Z,30Days,2.8,0.0,0,12,0,0,7Days,3.8,0.0,0,4,0,0,AllTime,3.6,0.0,0,13300,0,0,19.99,4316,115,33.33,0.03,-0.8,0.2,False,Racing,16.67,16.659999999999997,26.665,,,0.02,0.009999999999999998,0.13,,,-0.3,-0.5,0.2,,,3rd Party
36,Trials of the Blood Dragon,https://www.xbox.com/en-us/games/store/Trials-of-the-Blood-Dragon/BPPR6D5C2GLF,BPPR6D5C2GLF,Xbox / PC,Yes,Active,,Jun 2016,55,Racing,No relation,T,"Blo, Lan, MilSugThe, FanVio, UseDru",,9,redlynx,True,,,ubisoft,2016-06-13T00:00:00.0000000Z,30Days,1.0,0.0,0,1,0,0,7Days,0.0,0.0,0,0,0,0,AllTime,2.8,0.0,0,1996,0,0,14.99,3524,115,0.0,0.0,-1.8,-2.8,False,Racing,16.67,-16.67,11.72,,,0.02,-0.02,0.095,,,-0.3,-1.5,0.19999999999999998,,,3rd Party
37,Uno,https://www.xbox.com/en-us/games/store/UNO/BNSDHDK45KBR,BNSDHDK45KBR,Xbox / PC,Yes,Active,,May 2006,81,Board,No relation,E,,,19,ubisoft chengdu,True,,,ubisoft,2016-08-16T00:00:00.0000000Z,30Days,2.1,0.0,0,65,0,0,7Days,1.7,0.0,0,12,0,0,AllTime,2.0,0.0,0,13697,0,0,9.99,7208,115,18.46,0.09,0.1,-0.3,False,Board,24.23,-5.77,18.46,,,0.195,-0.10500000000000001,0.09,,,-0.95,1.05,0.1,,,3rd Party
38,Valiant Hearts: The Great War,https://www.xbox.com/en-us/games/store/Valiant-Hearts-The-Great-War/C0X15TR4NP0B,C0X15TR4NP0B,Xbox / PC,Yes,Active,,Jun 2014,77,Platformer,No relation,T,"Blo, Vio, UseOfAlcAndTob",,12,ubisoft montpellier,True,,,ubisoft,2014-06-25T00:00:00.0000000Z,30Days,4.7,0.0,0,30,0,0,7Days,4.3,0.0,0,6,0,0,AllTime,4.6,0.0,0,15705,0,0,14.99,4255,115,20.0,0.04,0.1,-0.3,False,Platformer,20.0,0.0,20.0,,,0.04,0.0,0.035,,,0.0,0.1,0.2,,,3rd Party
39,Wheel of Fortune,https://www.xbox.com/en-us/games/store/Wheel-Of-Fortune/BR76VBTV0NK0,BR76VBTV0NK0,Xbox,Yes,Active,,Nov 2017,80,Trivia,No relation,E,,,14,ubisoft,True,,,ubisoft,2017-11-07T00:00:00.0000000Z,30Days,2.2,0.0,0,19,0,0,7Days,4.0,0.0,0,3,0,0,AllTime,2.5,0.0,0,484,0,0,19.99,3006,115,15.79,0.62,-0.3,1.5,False,Trivia,15.79,0.0,15.79,,,0.62,0.0,0.62,,,-0.3,0.0,-0.3,,,3rd Party
40,Zombi,https://www.xbox.com/en-us/games/store/ZOMBI/BR03N9C6Z9G6,BR03N9C6Z9G6,Xbox / PC,Yes,Active,,Aug 2015,65,Survival,No relation,M,"BloGor, StrLan, IntVio",,11,straight right,True,,,ubisoft,2015-08-18T00:00:00.0000000Z,30Days,3.2,0.0,0,10,0,0,7Days,2.7,0.0,0,3,0,0,AllTime,3.7,0.0,0,6213,0,0,19.99,3829,115,30.0,0.05,-0.5,-1.0,False,Survival,20.0,10.0,23.335,,,0.02,0.030000000000000002,0.035,,,0.0,-0.5,-0.15,,,3rd Party
41,Lara Croft and the Guardian of Light,https://www.xbox.com/en-us/games/store/Lara-Croft-and-the-Guardian-of-Light/BX7XFZ51XTW8,BX7XFZ51XTW8,Xbox / PC,Yes,Active,,Feb 2015,84,Action-Adventure,No relation,T,"AniBlo, Vio",,12,crystal dynamics,True,,,crystal dynamics,2010-08-05T00:00:00.0000000Z,30Days,4.6,0.0,0,8,0,0,7Days,4.0,0.0,0,1,0,0,AllTime,3.6,0.0,0,608,0,0,14.99,4010,145,12.5,0.16,1.0,0.4,False,Action-Adventure,18.575,-6.074999999999999,0.0,,,0.055,0.10500000000000001,0.0,,,0.0,1.0,0.0,,,3rd Party
42,ENDLESS Legend 2 (Game Preview),https://www.xbox.com/en-us/games/store/endless-legend-2-game-preview/9NQNRZG07H94,9NQNRZG07H94,PC,None,Active,,Sep 2025,,Strategy,No relation,T,"Vio, Blo",,17,amplitude studios,True,,,hooded horse,2025-09-22T13:00:00.0000000Z,30Days,3.6,0.0,0,5,0,0,7Days,5.0,0.0,0,1,0,0,AllTime,3.4,0.0,0,121,0,0,49.99,145,145,20.0,0.83,0.2,1.6,True,Strategy,0.0,20.0,0.0,,,0.0,0.83,0.0,,,-0.5,0.7,-1.3,,,3rd Party
